queueVersion,queueChecksum,word,length,strata,reviewerId,reviewedAt,source,class,confidence,reason,note
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","CAN'T","5","length:medium;not-3-letter;morphology:none;dialect:en;flag:invalidToken;review-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","CANDLE","6","length:long;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","CARD","4","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","CARE","4","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","CART","4","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","CASTLE","6","length:long;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","CAT","3","length:short;short-3-letter;morphology:base;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","CATER","5","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","CLEAN","5","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","CLEATS","6","length:long;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","CLOUD","5","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","CO-OP","5","length:medium;not-3-letter;morphology:none;dialect:en;flag:invalidToken;review-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","COD","3","length:short;short-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","COLD","4","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","CRATE","5","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","DANCE","5","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","DANGER","6","length:long;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","DARE","4","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","DEAL","4","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","DO","2","length:short;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","DOC","3","length:short;short-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","DOG","3","length:short;short-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","DOWNER","6","length:long;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","DROWN","5","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","EAR","3","length:short;short-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","EARS","4","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","EARTH","5","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","EAST","4","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","ELM","3","length:short;short-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","END","3","length:short;short-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","EON","3","length:short;short-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","FERN","4","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","FIND","4","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","FINE","4","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","FLOE","4","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","FLOWER","6","length:long;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","FOWLER","6","length:long;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","FREE","4","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","GARDEN","6","length:long;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","GIRTH","5","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","GO","2","length:short;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","GOD","3","length:short;short-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","GRADE","5","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","GROAN","5","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","HARD","4","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","HARE","4","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","HEAR","4","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","HEART","5","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","HIT","3","length:short;short-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","HOME","4","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","HONE","4","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","HOSE","4","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","KIND","4","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","KING","4","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","LANCE","5","length:medium;not-3-letter;morphology:base;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","LANCED","6","length:long;not-3-letter;morphology:past;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","LAP","3","length:short;short-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","LATE","4","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","LEAD","4","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","LEANT","5","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","LEAP","4","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","LED","3","length:short;short-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","LIE","3","length:short;short-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","LIME","4","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","LINE","4","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","LONE","4","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","LONG","4","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","LOUD","4","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","LOWER","5","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","MAKER","5","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","MARKET","6","length:long;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","MASTER","6","length:long;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","MATE","4","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","MEAT","4","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","MESH","4","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","MET","3","length:short;short-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","MILE","4","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","MILES","5","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","MIND","4","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","MINE","4","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","MONO","4","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","MOO","3","length:short;short-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","MOON","4","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","NAP","3","length:short;short-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","NASA","4","length:medium;not-3-letter;morphology:none;dialect:en;flag:abbreviation;review-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","NET","3","length:short;short-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","NOTE","4","length:medium;not-3-letter;morphology:base;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","NOTES","5","length:medium;not-3-letter;morphology:plural;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","NOW","3","length:short;short-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","OLD","3","length:short;short-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","ON","2","length:short;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","ONE","3","length:short;short-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","ORANGE","6","length:long;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","ORGAN","5","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","OWE","3","length:short;short-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","OWNER","5","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","PANEL","5","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","PANT","4","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","PEAR","4","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","PEARL","5","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","PEN","3","length:short;short-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","PLAN","4","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","PLANE","5","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","PLANET","6","length:long;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","PLANT","5","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","PLEA","4","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
"human-golden-queue-v1","df7f0f7182df6c606571901a416f046482b638d2fa8101d7f66a3f7247c30dc2","PLEAD","5","length:medium;not-3-letter;morphology:none;dialect:en;flag:none;review-not-required","","","human-review-v1","","","",""
